date,000016.XSHG,000905.XSHG,000300.XSHG,399673.XSHE
2015/6/5,3303.99,11144.52,5230.55,3753.9
2015/6/8,3458.71,11030.92,5353.75,3587.36
2015/6/9,3414,11013.74,5317.46,3591.67
2015/6/10,3370.38,11208.06,5309.11,3721.22
2015/6/11,3347.12,11366.29,5306.59,3730.06
2015/6/12,3350.25,11545.89,5335.11,3768.26
2015/6/15,3262.48,11332.89,5221.17,3547.16
2015/6/16,3179.65,10879.84,5064.82,3460.68
2015/6/17,3211.71,11100.55,5138.83,3625.71
2015/6/18,3068.49,10731.38,4930.55,3371.02
2015/6/19,2903.06,9987.41,4637.05,3169.33
2015/6/23,3003.16,10046.88,4786.09,3264.57
2015/6/24,3045.24,10267.63,4880.13,3246.32
2015/6/25,2943.99,9906.1,4706.52,3069.78
2015/6/26,2736.7,9078.07,4336.19,2772.76
2015/6/29,2678.37,8484.64,4191.55,2537.61
2015/6/30,2870.03,8906.02,4473,2717.21
2015/7/1,2736.85,8411.91,4253.02,2610.52
2015/7/2,2714.25,7835.1,4108,2513.96
2015/7/3,2582.27,7355.49,3885.92,2490.4
2015/7/6,2750,7236,3998.54,2379.21
2015/7/7,2812.45,6763.53,3928,2217.92
2015/7/8,2608.98,6602.37,3663.04,2231.87
2015/7/9,2781.08,6896.35,3897.63,2314.32
2015/7/10,2898.41,7244.78,4106.56,2430.6
2015/7/13,2869.05,7695.64,4211.81,2589.44
2015/7/14,2763.07,7859.06,4112.15,2621.46
2015/7/15,2757.95,7405.3,3966.76,2478.05
2015/7/16,2742.85,7578.76,3997.36,2519.37
2015/7/17,2807.07,7994.7,4151.5,2687.62
2015/7/20,2783.76,8116.5,4160.61,2740.14
2015/7/21,2772.77,8220.46,4166.01,2757.28
2015/7/22,2739.79,8320.24,4157.16,2766.52
2015/7/23,2790.76,8551.99,4250.81,2834.53
2015/7/24,2741.04,8425.07,4176.28,2751.52
2015/7/27,2493.29,7794.18,3818.73,2535.09
2015/7/28,2485.67,7649.82,3811.09,2442.51
2015/7/29,2531.45,8022.8,3930.38,2565.92
2015/7/30,2467.37,7800.58,3815.41,2435.77
2015/7/31,2461.24,7727.06,3816.7,2432.13
2015/8/3,2479.72,7540.2,3829.24,2296.58
2015/8/4,2534.71,7942.1,3948.16,2442.47
2015/8/5,2487.06,7839.34,3866.9,2381.25
2015/8/6,2467.53,7792.03,3831.85,2355.6
2015/8/7,2503.8,8013.32,3906.95,2448.09
2015/8/10,2617.66,8394.09,4084.36,2573.13
2015/8/11,2590.71,8435.33,4066.67,2564.52
2015/8/12,2561.13,8336.34,4016.13,2492.61
2015/8/13,2580.78,8534.43,4075.46,2554.45
2015/8/14,2577.04,8625.24,4073.54,2530.15
2015/8/17,2550.47,8820.46,4077.87,2507.25
2015/8/18,2407.97,8161.27,3825.41,2363.63
2015/8/19,2430.28,8340.98,3886.14,2435.15
2015/8/20,2356.92,8049.51,3761.45,2370.09
2015/8/21,2271.36,7612.9,3589.54,2211.19
2015/8/24,2058.25,7006.19,3275.53,2033.05
2015/8/25,1914.05,6481.41,3042.93,1879.45
2015/8/26,1942.45,6238.53,3025.69,1780.33
2015/8/27,2094.72,6456.06,3205.64,1849.3
2015/8/28,2159.96,6842.89,3342.29,1962.44
2015/8/31,2210.45,6581.31,3366.54,1885.53
2015/9/1,2230.32,6169.21,3362.08,1803.13
2015/9/2,2243.63,6122.55,3365.83,1783.11
2015/9/7,2133.98,6143.56,3250.49,1816.12
2015/9/8,2180.13,6374.85,3334.02,1918.32
2015/9/9,2211.2,6551.01,3399.3,1984.25
2015/9/10,2208.48,6440.31,3357.56,1950.12
2015/9/11,2195.39,6493.32,3347.19,1971.05
